network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 17:00:00+01:00,2023-05-22 18:00:00+01:00,2023-05-22 19:47:01+01:00,+01:00,3.7,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 18:00:00+01:00,2023-05-22 19:00:00+01:00,2023-05-22 20:50:02+01:00,+01:00,4,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 19:00:00+01:00,2023-05-22 20:00:00+01:00,2023-05-22 21:47:01+01:00,+01:00,3.7,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 20:00:00+01:00,2023-05-22 21:00:00+01:00,2023-05-22 22:47:02+01:00,+01:00,3.2,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 21:00:00+01:00,2023-05-22 22:00:00+01:00,2023-05-22 23:44:01+01:00,+01:00,3.2,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 22:00:00+01:00,2023-05-22 23:00:00+01:00,2023-05-23 00:47:01+01:00,+01:00,3.2,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 23:00:00+01:00,2023-05-23 00:00:00+01:00,2023-05-23 01:44:01+01:00,+01:00,4,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 00:00:00+01:00,2023-05-23 01:00:00+01:00,2023-05-23 02:47:01+01:00,+01:00,3.5,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 01:00:00+01:00,2023-05-23 02:00:00+01:00,2023-05-23 03:50:02+01:00,+01:00,3.2,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 02:00:00+01:00,2023-05-23 03:00:00+01:00,2023-05-23 04:47:01+01:00,+01:00,3.2,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 03:00:00+01:00,2023-05-23 04:00:00+01:00,2023-05-23 05:47:01+01:00,+01:00,2.9,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 04:00:00+01:00,2023-05-23 05:00:00+01:00,2023-05-23 06:44:01+01:00,+01:00,2.9,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 05:00:00+01:00,2023-05-23 06:00:00+01:00,2023-05-23 07:47:01+01:00,+01:00,2.9,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 06:00:00+01:00,2023-05-23 07:00:00+01:00,2023-05-23 08:44:01+01:00,+01:00,2.7,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 07:00:00+01:00,2023-05-23 08:00:00+01:00,2023-05-23 09:47:08+01:00,+01:00,2.7,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 09:00:00+01:00,2023-05-23 10:00:00+01:00,2023-05-23 11:47:01+01:00,+01:00,3.5,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 10:00:00+01:00,2023-05-23 11:00:00+01:00,2023-05-23 12:47:01+01:00,+01:00,3.2,1,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 11:00:00+01:00,2023-05-23 12:00:00+01:00,2023-05-23 13:44:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 12:00:00+01:00,2023-05-23 13:00:00+01:00,2023-05-23 14:47:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 13:00:00+01:00,2023-05-23 14:00:00+01:00,2023-05-23 15:44:02+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 14:00:00+01:00,2023-05-23 15:00:00+01:00,2023-05-23 16:47:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 15:00:00+01:00,2023-05-23 16:00:00+01:00,2023-05-23 17:50:05+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 16:00:00+01:00,2023-05-23 17:00:00+01:00,2023-05-23 18:47:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 17:00:00+01:00,2023-05-23 18:00:00+01:00,2023-05-23 19:47:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 18:00:00+01:00,2023-05-23 19:00:00+01:00,2023-05-23 20:44:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 19:00:00+01:00,2023-05-23 20:00:00+01:00,2023-05-23 21:47:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 20:00:00+01:00,2023-05-23 21:00:00+01:00,2023-05-23 22:44:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 21:00:00+01:00,2023-05-23 22:00:00+01:00,2023-05-23 23:47:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 22:00:00+01:00,2023-05-23 23:00:00+01:00,2023-05-24 00:50:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-23 23:00:00+01:00,2023-05-24 00:00:00+01:00,2023-05-24 01:47:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-24 00:00:00+01:00,2023-05-24 01:00:00+01:00,2023-05-24 02:47:02+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-24 01:00:00+01:00,2023-05-24 02:00:00+01:00,2023-05-24 03:44:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-24 02:00:00+01:00,2023-05-24 03:00:00+01:00,2023-05-24 04:47:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-24 03:00:00+01:00,2023-05-24 04:00:00+01:00,2023-05-24 05:44:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-24 04:00:00+01:00,2023-05-24 05:00:00+01:00,2023-05-24 06:47:01+01:00,+01:00,1.3,3,3,625,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_MJESA_SO2_40693,CZ.CHMI-Prague-Komorany.AQ,17.1901798248291,50.24224090576171,EPSG:4979,CZ0MJES,STA.CZ_MJES,Jesenik-lazne,CZ.CHMI-Prague-Komorany.AQ,2023-05-24 05:00:00+01:00,2023-05-24 06:00:00+01:00,2023-05-24 07:50:01+01:00,+01:00,1.3,3,3,625,ug/m3
